Local time,Open,High,Low,Close,Volume
02.01.2022 19:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 20:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 20:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 20:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 20:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 21:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 21:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 21:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 21:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 22:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 22:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 22:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 22:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 23:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 23:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 23:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
02.01.2022 23:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 00:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 00:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 00:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 00:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 01:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 01:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 01:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 01:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 02:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 02:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 02:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 02:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 03:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 03:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 03:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 03:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 04:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 04:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 04:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 04:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 05:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 05:15:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 05:30:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 05:45:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
03.01.2022 06:00:00.000 GMT+0100,177.587,177.587,177.587,177.587,0
